version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 50159 17 2 184 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 47977 53 6 11 521 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 41646 17 2 239 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 47977 6 10 1589 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.48.79.30 172.31.28.40 53 38733 17 2 1301 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.52.178.30 172.31.28.40 53 49268 17 2 1770 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 57809 53 17 2 143 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 48659 17 2 218 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 54313 53 6 10 483 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.48.79.30 57297 53 17 2 165 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 39669 53 6 10 484 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.52.178.30 172.31.28.40 53 37909 17 2 1392 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.48.79.30 44879 53 17 2 159 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 53649 53 17 2 135 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 59311 53 6 10 483 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 43891 6 9 1161 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 48830 53 17 2 134 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 41538 17 2 235 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 55596 17 2 184 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 53649 17 2 251 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 57059 17 2 309 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.52.178.30 40075 53 17 2 172 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.48.79.30 55672 53 17 2 160 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 52595 6 8 1508 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 54313 6 9 1160 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 48830 17 2 269 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 53024 17 2 299 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 41538 53 17 2 139 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.48.79.30 172.31.28.40 53 55672 17 2 1941 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.48.79.30 172.31.28.40 53 44879 17 2 1769 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 53611 53 6 11 520 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 57059 53 17 2 133 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.48.79.30 172.31.28.40 53 57297 17 2 1775 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 49507 53 17 2 136 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 51893 53 6 11 520 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 43851 17 2 241 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 43553 53 6 10 486 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.48.79.30 172.31.28.40 53 50528 17 2 1634 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 43891 53 6 10 484 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 50159 53 17 2 136 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 48659 53 17 2 138 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 43553 6 9 1265 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 48793 6 8 1508 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 41646 53 17 2 139 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.52.178.30 37909 53 17 2 165 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 39669 6 9 1162 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 52595 53 6 9 440 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.48.79.30 38733 53 17 2 176 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.52.178.30 172.31.28.40 53 40075 17 2 1810 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.52.178.30 49268 53 17 2 160 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 55596 53 17 2 136 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 57809 17 2 208 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 59311 6 9 1551 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.48.79.30 36504 53 17 2 162 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 43851 53 17 2 143 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.48.79.30 50528 53 17 2 161 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.5.5.241 48793 53 6 9 440 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 53611 6 10 1588 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.5.5.241 172.31.28.40 53 51893 6 10 1588 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 53024 53 17 2 139 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 192.48.79.30 172.31.28.40 53 36504 17 2 1772 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 49507 17 2 236 1659810519 1659810639 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 42344 53 17 2 139 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 192.41.162.30 51276 53 17 2 160 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 39954 53 17 2 140 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 39954 17 2 280 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 39523 53 17 3 210 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 172.31.35.139 53 33137 17 2 262 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 33137 53 17 2 143 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.28.40 3.16.146.5 22 3529 6 813 371200 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 51010 53 17 2 145 1659810519 1659810699 ACCEPT OK
2 737271650855 eni-092b2c6a2c7680df0 172.31.35.139 172.31.28.40 48621 53 17 2 138 1659810519 1659810699 ACCEPT OK
